location_id,location_name,centreline_id,direction,date,year,month,day_of_week,is_weekend,observed_hour_count,daily_total_volume,peak_hour_volume,peak_ratio,avg_observed_hourly_volume,peak_hour_concentration,traffic_demand_intensity,throughput_proxy,queue_pressure_proxy,delay_pressure_proxy
10133796_SB,Keele St: Wilson Ave - Victory Dr,10133796,SB,2017-06-21,2017,6,2,0,24,21579,1357,0.0628852124750915,899.125,1.5092450994021966,1.092165198906772,21579,457.875,0.5092450994021966
10133796_SB,Keele St: Wilson Ave - Victory Dr,10133796,SB,2017-06-22,2017,6,3,0,24,22389,1447,0.0646299522086739,932.875,1.5511188530081736,1.1331612511387792,22389,514.125,0.5511188530081736
10154405_WB,St Clair Ave E: Yonge St - Tamblyn Lane,10154405,WB,2018-05-28,2018,5,0,0,24,8204,695,0.0847147732813261,341.8333333333333,2.0331545587518285,1.0401927222010905,8204,353.1666666666667,1.0331545587518285
10154405_WB,St Clair Ave E: Yonge St - Tamblyn Lane,10154405,WB,2018-05-29,2018,5,1,0,24,8244,673,0.08163512857836,343.5,1.9592430858806404,1.0452643590718904,8244,329.5,0.9592430858806404
10154405_WB,St Clair Ave E: Yonge St - Tamblyn Lane,10154405,WB,2018-05-30,2018,5,2,0,24,8341,695,0.0833233425248771,347.5416666666667,1.9997602205970506,1.0575630784835806,8341,347.4583333333333,0.9997602205970506
10154405_WB,St Clair Ave E: Yonge St - Tamblyn Lane,10154405,WB,2018-05-31,2018,5,3,0,24,8094,675,0.0833951074870274,337.25,2.001482579688658,1.0262457208063902,8094,337.75,1.0014825796886582
10154405_WB,St Clair Ave E: Yonge St - Tamblyn Lane,10154405,WB,2018-06-01,2018,6,4,0,24,8313,750,0.0902201371346084,346.375,2.165283291230603,1.0540129326740206,8313,403.625,1.1652832912306028
10154405_WB,St Clair Ave E: Yonge St - Tamblyn Lane,10154405,WB,2018-06-02,2018,6,5,1,24,6943,511,0.0735993086562004,289.2916666666667,1.7663834077488116,0.8803093698491188,6943,221.70833333333331,0.7663834077488116
10154405_WB,St Clair Ave E: Yonge St - Tamblyn Lane,10154405,WB,2018-06-03,2018,6,6,1,24,6588,545,0.0827261687917425,274.5,1.9854280510018214,0.8352985926207683,6588,270.5,0.9854280510018214
10154405_WB,St Clair Ave E: Yonge St - Tamblyn Lane,10154405,WB,2018-06-04,2018,6,0,0,24,8340,673,0.0806954436450839,347.5,1.9366906474820145,1.0574362875618106,8340,325.5,0.9366906474820145
10154405_WB,St Clair Ave E: Yonge St - Tamblyn Lane,10154405,WB,2018-06-05,2018,6,1,0,24,8429,690,0.0818602443943528,351.2083333333333,1.964645865464468,1.0687206795993407,8429,338.7916666666667,0.9646458654644681
10154405_WB,St Clair Ave E: Yonge St - Tamblyn Lane,10154405,WB,2019-01-12,2019,1,5,1,24,6360,489,0.0768867924528301,265.0,1.8452830188679246,0.806390262457208,6360,224.0,0.8452830188679246
10154405_WB,St Clair Ave E: Yonge St - Tamblyn Lane,10154405,WB,2019-01-13,2019,1,6,1,24,6261,517,0.0825746685832934,260.875,1.9817920459990417,0.7938379612019779,6261,256.125,0.9817920459990417
10154405_WB,St Clair Ave E: Yonge St - Tamblyn Lane,10154405,WB,2019-01-14,2019,1,0,0,24,7488,657,0.0877403846153846,312.0,2.105769230769231,0.9494104222137695,7488,345.0,1.1057692307692308
10154405_WB,St Clair Ave E: Yonge St - Tamblyn Lane,10154405,WB,2019-01-15,2019,1,1,0,24,7650,631,0.0824836601307189,318.75,1.9796078431372548,0.9699505515405097,7650,312.25,0.9796078431372548
10154405_WB,St Clair Ave E: Yonge St - Tamblyn Lane,10154405,WB,2019-01-16,2019,1,2,0,24,7842,674,0.0859474623820454,326.75,2.0627390971690893,0.9942944085203499,7842,347.25,1.0627390971690893
10154405_WB,St Clair Ave E: Yonge St - Tamblyn Lane,10154405,WB,2019-01-17,2019,1,3,0,24,7932,655,0.0825769036812909,330.5,1.9818456883509834,1.00570559147965,7932,324.5,0.9818456883509834
10154405_WB,St Clair Ave E: Yonge St - Tamblyn Lane,10154405,WB,2019-01-18,2019,1,4,0,24,7762,679,0.0874774542643648,323.4166666666667,2.0994589023447565,0.9841511347787498,7762,355.5833333333333,1.0994589023447565
10155176_NB,McCowan Rd: Sandhurst Crcl - Finch Ave E,10155176,NB,2015-05-07,2015,5,3,0,24,13351,1050,0.0786457943225226,556.2916666666666,1.887499063740544,1.0476713618707576,13351,493.70833333333337,0.887499063740544
10155176_NB,McCowan Rd: Sandhurst Crcl - Finch Ave E,10155176,NB,2015-05-08,2015,5,4,0,24,14198,1107,0.0779687279898577,591.5833333333334,1.8712494717565853,1.1141366186683408,14198,515.4166666666666,0.8712494717565853
