date,daily_total_volume,peak_hour_volume,peak_ratio,congestion_target,year,month,quarter,day_of_week,is_weekend,week_of_year,lag_1,lag_7,lag_14,roll_7_mean,roll_14_mean,roll_7_std
2015-11-04,45295,4368,0.09643448504249917,45295,2015,11,4,2,0,45,45130.0,575019.0,19381.0,227194.85714285713,138658.07142857142,275175.640538564
2015-11-05,155648,15946,0.10244911595394737,155648,2015,11,4,3,0,45,45295.0,576518.0,27502.0,151520.0,140509.07142857142,233219.82996163235
2015-11-06,195262,17116,0.08765658448648482,195262,2015,11,4,4,0,45,155648.0,388053.0,28565.0,91395.71428571429,149662.35714285713,141679.31322498736
2015-11-07,165852,11691,0.07049055784675494,165852,2015,11,4,5,1,45,195262.0,1880.0,28445.0,63854.142857142855,161569.2857142857,79489.05566056755
2015-11-08,132761,9749,0.07343270990727699,132761,2015,11,4,6,1,45,165852.0,1885.0,29048.0,87278.71428571429,171384.07142857142,82293.02772352025
2015-11-09,181453,17715,0.09762858701702369,181453,2015,11,4,0,0,46,132761.0,1879.0,29989.0,105975.28571428571,178792.14285714287,74119.80601636847
2015-11-10,184816,18283,0.09892541771275214,184816,2015,11,4,1,0,46,181453.0,45130.0,187919.0,131628.7142857143,189611.0,62204.814571736504
2015-11-11,186284,18338,0.0984410899486805,186284,2015,11,4,2,0,46,184816.0,45295.0,575019.0,151583.85714285713,189389.35714285713,51277.089489123435
2015-11-12,78339,6171,0.07877302493011144,78339,2015,11,4,3,0,46,186284.0,155648.0,576518.0,171725.14285714287,161622.57142857142,21768.16662335766
2016-01-19,79372,7538,0.09497051857078063,79372,2016,1,1,1,0,3,78339.0,195262.0,388053.0,160681.0,126038.35714285714,41736.88213877576
2016-01-20,81975,7556,0.09217444342787436,81975,2016,1,1,2,0,3,79372.0,165852.0,1880.0,144125.2857142857,103989.71428571429,48215.609808831294
2016-01-21,82969,7398,0.08916583302197206,82969,2016,1,1,3,0,3,81975.0,132761.0,1885.0,132142.85714285713,109710.78571428571,52176.02884284011
2016-01-22,87828,7151,0.08142050371180033,87828,2016,1,1,4,0,3,82969.0,181453.0,1879.0,125029.71428571429,115502.5,55373.78506029827
2016-01-23,82660,5122,0.061964674570529885,82660,2016,1,1,5,1,3,87828.0,184816.0,45130.0,111654.71428571429,121641.71428571429,50572.85574862036
2016-01-24,71170,4781,0.06717718139665589,71170,2016,1,1,6,1,3,82660.0,186284.0,45295.0,97061.0,124322.42857142857,39460.880806177105
2016-01-25,17390,4007,0.23041978148361128,17390,2016,1,1,0,0,4,71170.0,78339.0,155648.0,80616.14285714286,126170.64285714286,5156.445010096934
2016-01-28,114679,11500,0.10027991175367766,114679,2016,1,1,3,0,4,17390.0,79372.0,195262.0,71909.14285714286,116295.07142857143,24566.950593744357
2016-01-29,119883,11011,0.09184788502122904,119883,2016,1,1,4,0,4,114679.0,81975.0,165852.0,76953.0,110539.14285714286,29486.41876072144
2016-01-30,215342,15318,0.07113335995764876,215342,2016,1,1,5,1,4,119883.0,82969.0,132761.0,82368.42857142857,107255.64285714286,33737.14495357226
2016-01-31,187324,14312,0.07640238303687728,187324,2016,1,1,6,1,4,215342.0,87828.0,181453.0,101278.85714285714,113154.28571428571,60563.39591542771
2016-02-01,223545,19579,0.08758415531548458,223545,2016,2,1,0,0,5,187324.0,82660.0,184816.0,115492.57142857143,113573.64285714286,68088.40195377174
2016-02-02,381225,33817,0.08870614466522395,381225,2016,2,1,1,0,5,223545.0,71170.0,186284.0,135619.0,116340.0,77004.35114112728
2016-02-03,381792,33448,0.08760791216159584,381792,2016,2,1,2,0,5,381225.0,17390.0,78339.0,179912.57142857142,130264.35714285714,114027.19771594758
2016-02-04,272192,22671,0.0832904714319304,272192,2016,2,1,3,0,5,381792.0,114679.0,79372.0,231970.0,151939.57142857142,110593.17134133019
2016-02-05,283910,22502,0.07925751118312141,283910,2016,2,1,4,0,5,272192.0,119883.0,81975.0,254471.85714285713,165712.42857142858,98065.78817546771
2016-02-06,148754,12173,0.08183309356387056,148754,2016,2,1,5,1,5,283910.0,215342.0,82969.0,277904.28571428574,180136.35714285713,78113.4705513138
2016-02-07,221134,19888,0.08993641864209032,221134,2016,2,1,6,1,5,148754.0,187324.0,87828.0,268391.71428571426,184835.2857142857,90131.95815897355
2016-02-08,301189,28488,0.09458512761090213,301189,2016,2,1,0,0,6,221134.0,223545.0,82660.0,273221.71428571426,194357.14285714287,85868.7314543016
2016-02-09,152292,14855,0.09754287815512305,152292,2016,2,1,1,0,6,301189.0,381225.0,71170.0,284313.71428571426,209966.35714285713,83360.46238018143
2016-02-10,154994,14651,0.09452623972540873,154994,2016,2,1,2,0,6,152292.0,381792.0,17390.0,251609.0,215760.7857142857,83909.22428235276
2016-02-11,157058,14905,0.09490124667320353,157058,2016,2,1,3,0,6,154994.0,272192.0,114679.0,219209.2857142857,225589.64285714287,67432.93193169223
2016-02-12,154236,13617,0.08828678129619544,154236,2016,2,1,4,0,6,157058.0,283910.0,119883.0,202761.57142857142,228616.7142857143,66389.16204184615
2016-02-13,107297,8698,0.08106470823974575,107297,2016,2,1,5,1,6,154236.0,148754.0,215342.0,184236.7142857143,231070.5,57463.89637187452
